Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10952584,1.0,2,2024.0,6.0,8.0,0.0,0.0,0.0,2.0,95.0,0.0,2.0,14.0,1200,527500,10952584,3,2,0.0,1.0,3.0,19,0.0,0.0,1.0,2.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10952579,1.0,5,2024.0,6.0,8.0,0.0,1.0,85.0,6.0,284.0,0.0,2.0,14.0,1180,786000,10952579,3,2,0.0,2.0,3.0,11,210.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10952580,1.0,4,2025.0,6.0,8.0,0.0,0.0,0.0,6.0,254.0,0.0,2.0,13.0,1180,799500,10952580,3,2,0.0,1.0,3.0,11,186.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10952421,1.0,2,0.0,18.0,8.0,0.0,0.0,0.0,4.0,127.0,0.0,2.0,13.0,4000,259000,10952421,9,1,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/haversin/5590/10951842,1.0,2,1992.0,10.0,8.0,0.0,1.0,1578.0,4.0,188.0,0.0,4.0,10.0,5590,330000,10951842,8,1,0.0,0.0,5.0,23,1578.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/tielt/8700/10950969,1.0,2,0.0,34.0,8.0,0.0,0.0,0.0,2.0,146.0,0.0,2.0,7.0,8700,199000,10950969,0,0,0.0,1.0,3.0,16,53.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/sint-martens-lennik/1750/10950925,1.0,3,1971.0,13.0,8.0,0.0,1.0,1400.0,4.0,610.0,0.0,4.0,11.0,1750,1145000,10950925,6,0,0.0,0.0,3.0,11,2972.0,0.0,1.0,3.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/molenbeek-saint-jean/1080/10950764,4.0,6,1972.0,6.0,8.0,0.0,0.0,0.0,4.0,743.0,0.0,2.0,7.0,1080,1785000,10950764,3,2,0.0,1.0,4.0,1,0.0,0.0,1.0,4.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/10950654,1.0,2,1958.0,1.0,8.0,0.0,0.0,0.0,4.0,97.0,0.0,2.0,13.0,2610,249000,10950654,5,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10949718,6.0,7,1991.0,5.0,8.0,0.0,0.0,0.0,6.0,212.0,0.0,4.0,13.0,8300,5875000,10949718,0,0,0.0,0.0,4.0,11,988.0,1.0,1.0,0.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/10949365,1.0,2,1994.0,0.0,8.0,0.0,0.0,0.0,4.0,205.0,0.0,2.0,7.0,9400,295000,10949365,7,0,0.0,0.0,3.0,11,281.0,0.0,1.0,2.0,1,0
